Virtual Poster No	Abstract Title	Presenter First Name	Presenter Last Name	Submitter Institution	Parent Category	Primary Category
539	Neural basis of sharing information through goal-directed conversation: hyperscanning fMRI study	TAKAHIKO	KOIKE	National Institute for Physiological Sciences	Emotion, Motivation and Social Neuroscience	Social Interaction
540	Selectively altering love related-belief in the human brain improves romantic relationships	Hongwen	Song	University of Science and Technology of China	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
541	Core Aspects of Self-Concept Biases in Social Anxiety: Neurobehavioral Indications	Ofir	Shany	Tel-Aviv University	Emotion, Motivation and Social Neuroscience	Self Processes
542	Adding positive punishment facilitates learning in fMRI neurofeedback	Manfred	Kloebl	Department of Psychiatry and Psychotherapy, Medical University of Vienna	Emotion, Motivation and Social Neuroscience	Emotional Learning
544	Can we reliably measure emotion regulation using fMRI?	Carmen	Morawetz	Medical University Vienna	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
545	The effect of specific types of childhood maltreatment on subcortical structures	Janik	Goltermann	University hospital Münster, Department of Psychiatry and Psychotherapy	Emotion, Motivation and Social Neuroscience	Reward and Punishment
546	Neural Correlates of Sexual Orientation in Men: Brain Activity During Reading Mind in the Eyes task.	Monika	Folkierska-Zukowska	University of Warsaw	Emotion, Motivation and Social Neuroscience	Sexual Behavior
547	Lower Reward Network Glutamate is Associated with Diminished Reward Responsiveness	Valerie	Sydnor	University of Pennsylvania	Emotion, Motivation and Social Neuroscience	Reward and Punishment
548	Freudian ideas represented in the brain: A fMRI-study of ego-functions, the BIG-5, and the DMN.	Florian	Fischmeister	University of Graz	Emotion, Motivation and Social Neuroscience	Self Processes
549	Parent-adolescent fMRI hyperscanning and dyadic neurofeedback for influencing brain response	Kara	Kerr	Oklahoma State University	Emotion, Motivation and Social Neuroscience	Social Interaction
550	Theory of mind and grey matter volume in late childhood	Yu Tong	Guo	University of Montreal	Emotion, Motivation and Social Neuroscience	Social Cognition
551	Distinctions between needs and desires in the brain: a meta-analysis	Juvenal	Bosulu	University of Montreal	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
552	Neurophysiological and behavioral correlates of emotional auditory processing in healthy adult women	Rosario	Gajardo	Pontificia universidad católica de chile	Emotion, Motivation and Social Neuroscience	Emotional Perception
553	Mind acts upon mind: Brain-to-brain synchrony in lover-lover dyads revealed by EEG hyperscanning	Shen	Liu	University of Science and Technology of China	Emotion, Motivation and Social Neuroscience	Emotional Perception
554	Neural Correlates of Aversive Learning as Mechanisms Linking Childhood Trauma with Psychopathology	Stephanie	DeCross	Harvard University	Emotion, Motivation and Social Neuroscience	Emotional Learning
555	A rs-fMRI Study on People with High and Low Life Satisfaction based on Psychological Needs Support	Joon Hee	Kwon	Yonsei University	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
556	Towards a neurometric-based construct validity of trust	pin-hao	chen	National Taiwan University	Emotion, Motivation and Social Neuroscience	Social Neuroscience Other
557	Haste Makes Waste: Oxytocin Effect On Intertemporal Choice	Danyang	Wang	Beijing Normal University	Emotion, Motivation and Social Neuroscience	Social Cognition
559	Does theory of mind has a structural substrate?	Jalil	Rasgado	Instituto de Neurobiología, Universidad Nacional Autónoma de México	Emotion, Motivation and Social Neuroscience	Social Cognition
561	Religious chanting may affect brainstem activity and modulate emotion	JL	gao	the university of hong kong	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
562	Motherhood Influences on Neural Mechanisms for Perceiving Eye Gaze and Emotional Facial Expressions	Shadi	Bagherzadeh Azbari	Humboldt-Universität zu Berlin	Emotion, Motivation and Social Neuroscience	Social Cognition
563	Psychological and Neural Correlates of Real-time Affective Instability	Oksana	Berhe	central institute of mental health mannheim	Emotion, Motivation and Social Neuroscience	Emotional Perception
564	Sense of humor moderates the mesolimbic reward pathways: An fMRI study of humorous rewards	Yu-Chen	Chan	National Tsing Hua University	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
565	Violations in the eye of beholders: noradrenergic system, social norms processing and pupillometry	Élise	Désilets	Université du Québec à Trois-Rivières	Emotion, Motivation and Social Neuroscience	Social Interaction
567	Premature Ejaculation Recognition Using Convolutional Neural Network Based on FC and SICE Features	Jiaming	Lu	Drum Tower Hospital, The Affiliated Hospital of Nanjing University Medical School	Emotion, Motivation and Social Neuroscience	Sexual Behavior
569	Evidence of Parent-adolescent Cross-brain Connectivity during an fMRI Hyperscanning Task	Erin	Ratliff	Oklahoma State University	Emotion, Motivation and Social Neuroscience	Social Interaction
570	Insula, thalamus and anterior cingulate volumetric changes after mindfulness training in novices	Karen	Fitzgerald	University of Cape Town	Emotion, Motivation and Social Neuroscience	Social Neuroscience Other
571	Neural spiking in the human medial temporal limbic system to normal and whispered emotional voices	Marine	Bobin	University of Zurich	Emotion, Motivation and Social Neuroscience	Emotional Perception
572	Increased Synchronous Brain Activity of Dyads in fMRI Hyperscanning Joint Attention Studies	Hiroki	Tanabe	Nagoya University	Emotion, Motivation and Social Neuroscience	Social Interaction
573	Prediction of the intensity of humour-related amusement over time: A behavioural and EEG study	Gabrielle	Toupin	University of Montreal	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
574	Shared vs. distinct neural bases for hunger and emotion: A functional neuroimaging meta-analysis	Jennifer	MacCormack	University of North Carolina at Chapel Hill	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
575	Mood symptom severity affects prefrontal emotion processing in psychogenic nonepileptic seizures	Mackensie	Terry	University of Alabama at Birmingham	Emotion, Motivation and Social Neuroscience	Emotional Perception
577	Does resting state cortico-limbic functional connectivity relate to emotion regulation ability?	Anne	Gärtner	Technische Universität Dresden	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
578	A human brain circuit for spirituality and religiosity	Michael	Ferguson	Beth Israel Deaconess Medical Center, Harvard Medical School	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
579	Neural Correlates of Emotional Perception by Multi-Voxel Pattern Analysis	Isaac	David	Universidad Nacional Autónoma de México	Emotion, Motivation and Social Neuroscience	Emotional Perception
580	Increasingly Closer Relationships Indicate Increasing Similarities In Brain Activity Viewing A Movie	Gokce	Ertas Yorulmaz	Aaalto University	Emotion, Motivation and Social Neuroscience	Social Interaction
581	The neurocognitive systems underlying shared attention to emotional videos	Junaid	Merchant	University of Maryland	Emotion, Motivation and Social Neuroscience	Social Cognition
582	Up-regulation of an electrical fingerprint of the ventral striatum via musical neurofeedback	Neomi	Singer	McGill University	Emotion, Motivation and Social Neuroscience	Reward and Punishment
583	The role of functional connectivity in the link of peer victimization and adolescent psychopathology	Hanie	Edalati	University of Montreal	Emotion, Motivation and Social Neuroscience	Social Cognition
584	Functional neuroanatomy of dimensional emotions in facial processing: An ALE meta-analysis	shaoling	peng	beijing normal university	Emotion, Motivation and Social Neuroscience	Emotional Perception
585	How do abstinent stimulant users process monetary risk in non-choice situations?	Sabrini	Sabrini	The University of Auckland	Emotion, Motivation and Social Neuroscience	Reward and Punishment
586	Neural Correlates of the Relationship between Micro-expressions Recognition and Deception Detection	Zhencai	Chen	Jiangxi University of traditional Chinese Medicine	Emotion, Motivation and Social Neuroscience	Emotional Learning
587	A computational model of one-shot economic game and its neural substrates	Hiroki	Tanaka	Tamagawa University Brain Science Institute	Emotion, Motivation and Social Neuroscience	Social Interaction
588	Alteration in cortical processing of facial emotions in broader autism phenotype	Patricia	Soto-Icaza	Universidad del Desarrollo	Emotion, Motivation and Social Neuroscience	Emotional Perception
589	Doctor Trustworthiness Reduces Pain and Its Neural Correlates in Virtual Medical Interactions	Elizabeth	Losin	University of Miami	Emotion, Motivation and Social Neuroscience	Social Cognition
591	Reduced Volume of the Nucleus Accumbens in Bully Perpetration and Victimization Experiences	Hideo	Suzuki	University of Nebraska-Lincoln	Emotion, Motivation and Social Neuroscience	Social Interaction
592	Expectations of Identity-Specific Social Outcomes in Orbitofrontal Cortex	James	Thompson	George Mason University	Emotion, Motivation and Social Neuroscience	Social Cognition
593	Offending behavior linked to activity in regions subserving emotional processes:An ALE meta-analysis	Isabelle	Simard	University of Ontario Institute of Technology	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
594	Childhood Trauma Is Associated with Bully Perpetration Depending on Amygdala Volume	Hideo	Suzuki	University of Nebraska-Lincoln	Emotion, Motivation and Social Neuroscience	Social Interaction
595	Genetic influences on Hippocampal Subfields: An Emerging Area of Neuroscience Research	Natalia	Vilor-Tejedor	Centre for Genomic Regulation (CRG), BarcelonaBeta Brain Research Center (BBRC)	Genetics	Genetics Other
596	The Impact of Population Structure on Neuroimaging Studies	Zhaowen	Liu	Massachusetts General Hospital	Genetics	Genetic Modeling and Analysis Methods
598	Genetic Associations in Diagnostic Specific Trajectories Revealed with Autoregressive Mixed Models	Qifan	Yang	University of Southern California	Genetics	Genetic Modeling and Analysis Methods
599	Association of ULK4 and the Hyperdopaminergic Response of the Human Reward System	Jens	Treutlein	Heidelberg University	Genetics	Genetic Association Studies
600	Pairwise Interactions in Gene Expression Determine a Hierarchical Transcription Profile of the Human	Jiaojiao	Hua	Institute of Automation, Chinese Academy of Sciences	Genetics	Transcriptomics
602	Extending Genome-Wide Association Study Results for Subcortical Brain Volumes in a Neonatal Cohort	Harriet	Cullen	Kings College, London	Genetics	Genetic Association Studies
603	An EEG and Genetic Study of Adaptation to Subpolar and Polar Regions	Alexander	Savostyanov	State-Research Institute of Physiology and Basic Medicine	Genetics	Genetic Association Studies
604	FAAH genetic variation modulates neural correlates of extinction recall - An fMRI study	Jennifer	Spohrs	Ulm University	Genetics	Genetic Association Studies
605	Transcriptomic Analysis of Alzheimer’s Disease Associated Brain Hypometabolism	Sejal	Patel	Centre for Addiction and Mental Health	Genetics	Transcriptomics
606	Making the MOSTest of imaging genetics	Dennis	van der Meer	University of Oslo	Genetics	Genetic Association Studies
607	Age-dependent connectivity differences within the default mode network in Down Syndrome	Katherine	Koenig	The Cleveland Clinic	Genetics	Neurogenetic Syndromes
608	Validating cellular dimensions of cortical organization through neuroimaging-transcriptomics	Jakob	Seidlitz	National Institutes of Health	Genetics	Transcriptomics
609	Heritability of Subcortical Structures Using a Twin and Non-Twin Sibling Design	Nadia	Blostein	McGill University	Genetics	Genetic Modeling and Analysis Methods
610	Altered White Matter and Ventricle Structure Associated with C4A Gene Expression in Schizophrenia	Grace	Jacobs	University of Toronto	Genetics	Genetic Association Studies
611	Identification of Independent Genomic Sources Driving Structural and Functional Brain Variation	Sourena	Soheili-Nezhad	Donders Institute	Genetics	Genetic Association Studies
612	Transcriptomic parcellation of the human brain reflects structure and function	Andre	Altmann	University College London	Genetics	Transcriptomics
613	Neuroimaging-genetic associations in Parkinson's disease	Silvia	Basaia	IRCCS San Raffaele Scientific Institute	Genetics	Transcriptomics
614	Signatures of functionally interacting genetic assemblies in the human brain.	Justine	Hansen	McGill University	Genetics	Genetic Modeling and Analysis Methods
615	Comparison of brain connectomes by MRI and genomics and its implication in Alzheimer’s Disease	Young	Woo	Icahn School of Medicine at Mount Sinai	Genetics	Transcriptomics
